Stock NO,Shape,Carat,Clarity,Color,Cut,Polish,Symmetry,Fluorescent,CULET,Location,ImageLink,CertificateLink,VideoLink,PPC,Total Price
1147478,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182316-989.jpg,https://diamanti.s3.amazonaws.com/certificates/2317839585.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182316-989,2009,602.7
1124560,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180892-317.jpg,https://diamanti.s3.amazonaws.com/certificates/6312649841.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180892-317,1950.2,585.06
1124562,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182302-338.jpg,https://diamanti.s3.amazonaws.com/certificates/2314666475.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182302-338,1975.12,592.54
1134373,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180940-969.jpg,https://diamanti.s3.amazonaws.com/certificates/1317707724.jpg,,1940.12,582.04
1149642,ROUND,0.3,VVS1,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182321-1016.jpg,https://diamanti.s3.amazonaws.com/certificates/1315877945.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182321-1016,1988,596.4
1124542,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182297-987.jpg,https://diamanti.s3.amazonaws.com/certificates/7316649989.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182297-987,1880.01,564
1135670,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180935-548.jpg,https://diamanti.s3.amazonaws.com/certificates/6312740020.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180935-548,1923.21,576.96
1124543,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/182297-896.jpg,https://diamanti.s3.amazonaws.com/certificates/1313650988.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=182297-896,1880.01,564
1134355,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/181262-342.jpg,https://diamanti.s3.amazonaws.com/certificates/7311695255.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=181262-342,1923.21,576.96
1137948,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/183322-689.jpg,https://diamanti.s3.amazonaws.com/certificates/2316771693.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=183322-689,1934.01,580.2
1124541,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180940-656.jpg,https://diamanti.s3.amazonaws.com/certificates/7312648549.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180940-656,1905.12,571.54
1143951,ROUND,0.3,VVS2,E,EX,EX,EX,N,N,MUMBAI,https://diamanti.s3.amazonaws.com/images/diamond/180389-161.jpg,https://diamanti.s3.amazonaws.com/certificates/6312837274.jpg,https://diamanti.s3.amazonaws.com/video/Vision360.html?d=180389-161,1973.16,591.95
